n_words,stem_words,threshold,TOP_N,queries,match,TP,FP,FN,TN,TP_asin,FN_asin,FP_asin,TN_asin,accuracy,Precision,Recall,accuracy_asin,Precision_asin,Recall_asin,F1,F1_asin
3.0,4.0,0.86,5.0,1000,137.0,57.0,80.0,443.0,420.0,0.0,443.0,80.0,420.0,0.48,0.42,0.11,0.42,0.0,0.0,0.17,
3.0,4.0,0.87,5.0,1000,118.0,47.0,71.0,453.0,429.0,0.0,453.0,71.0,429.0,0.48,0.4,0.09,0.43,0.0,0.0,0.15,
3.0,4.0,0.88,5.0,1000,101.0,39.0,62.0,461.0,438.0,0.0,461.0,62.0,438.0,0.48,0.39,0.08,0.44,0.0,0.0,0.13,
3.0,4.0,0.89,5.0,1000,85.0,32.0,53.0,468.0,447.0,0.0,468.0,53.0,447.0,0.48,0.38,0.06,0.45,0.0,0.0,0.1,
3.0,4.0,0.9,5.0,1000,75.0,28.0,47.0,472.0,453.0,0.0,472.0,47.0,453.0,0.48,0.37,0.06,0.45,0.0,0.0,0.1,
3.0,4.0,0.91,5.0,1000,63.0,24.0,39.0,476.0,461.0,0.0,476.0,39.0,461.0,0.48,0.38,0.05,0.46,0.0,0.0,0.09,
3.0,4.0,0.92,5.0,1000,50.0,20.0,30.0,480.0,470.0,0.0,480.0,30.0,470.0,0.49,0.4,0.04,0.47,0.0,0.0,0.07,
3.0,4.0,0.93,5.0,1000,34.0,15.0,19.0,485.0,481.0,0.0,485.0,19.0,481.0,0.5,0.44,0.03,0.48,0.0,0.0,0.06,
3.0,4.0,0.94,5.0,1000,19.0,10.0,9.0,490.0,491.0,0.0,490.0,9.0,491.0,0.5,0.53,0.02,0.49,0.0,0.0,0.04,
3.0,4.0,0.95,5.0,1000,11.0,6.0,5.0,494.0,495.0,0.0,494.0,5.0,495.0,0.5,0.55,0.01,0.5,0.0,0.0,0.02,
3.0,4.0,0.96,5.0,1000,6.0,4.0,2.0,496.0,498.0,0.0,496.0,2.0,498.0,0.5,0.67,0.01,0.5,0.0,0.0,0.02,
3.0,4.0,0.97,5.0,1000,2.0,1.0,1.0,499.0,499.0,0.0,499.0,1.0,499.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,
3.0,4.0,0.98,5.0,1000,1.0,1.0,0.0,499.0,500.0,0.0,499.0,0.0,500.0,0.5,1.0,0.0,0.5,,0.0,0.0,
3.0,4.0,0.99,5.0,1000,0.0,0.0,0.0,500.0,500.0,0.0,500.0,0.0,500.0,0.5,,0.0,0.5,,0.0,,
3.0,4.0,1.0,5.0,1000,0.0,0.0,0.0,500.0,500.0,0.0,500.0,0.0,500.0,0.5,,0.0,0.5,,0.0,,
4.0,4.0,0.0,5.0,1000,661.0,170.0,491.0,330.0,9.0,0.0,330.0,491.0,9.0,0.18,0.26,0.34,0.01,0.0,0.0,0.29,
4.0,4.0,0.01,5.0,1000,661.0,170.0,491.0,330.0,9.0,0.0,330.0,491.0,9.0,0.18,0.26,0.34,0.01,0.0,0.0,0.29,
4.0,4.0,0.02,5.0,1000,661.0,170.0,491.0,330.0,9.0,0.0,330.0,491.0,9.0,0.18,0.26,0.34,0.01,0.0,0.0,0.29,
4.0,4.0,0.03,5.0,1000,661.0,170.0,491.0,330.0,9.0,0.0,330.0,491.0,9.0,0.18,0.26,0.34,0.01,0.0,0.0,0.29,
4.0,4.0,0.04,5.0,1000,661.0,170.0,491.0,330.0,9.0,0.0,330.0,491.0,9.0,0.18,0.26,0.34,0.01,0.0,0.0,0.29,
4.0,4.0,0.05,5.0,1000,661.0,170.0,491.0,330.0,9.0,0.0,330.0,491.0,9.0,0.18,0.26,0.34,0.01,0.0,0.0,0.29,
4.0,4.0,0.06,5.0,1000,661.0,170.0,491.0,330.0,9.0,0.0,330.0,491.0,9.0,0.18,0.26,0.34,0.01,0.0,0.0,0.29,
4.0,4.0,0.07,5.0,1000,661.0,170.0,491.0,330.0,9.0,0.0,330.0,491.0,9.0,0.18,0.26,0.34,0.01,0.0,0.0,0.29,
4.0,4.0,0.08,5.0,1000,661.0,170.0,491.0,330.0,9.0,0.0,330.0,491.0,9.0,0.18,0.26,0.34,0.01,0.0,0.0,0.29,
4.0,4.0,0.09,5.0,1000,661.0,170.0,491.0,330.0,9.0,0.0,330.0,491.0,9.0,0.18,0.26,0.34,0.01,0.0,0.0,0.29,
4.0,4.0,0.1,5.0,1000,661.0,170.0,491.0,330.0,9.0,0.0,330.0,491.0,9.0,0.18,0.26,0.34,0.01,0.0,0.0,0.29,
4.0,4.0,0.11,5.0,1000,661.0,170.0,491.0,330.0,9.0,0.0,330.0,491.0,9.0,0.18,0.26,0.34,0.01,0.0,0.0,0.29,
4.0,4.0,0.12,5.0,1000,661.0,170.0,491.0,330.0,9.0,0.0,330.0,491.0,9.0,0.18,0.26,0.34,0.01,0.0,0.0,0.29,
4.0,4.0,0.13,5.0,1000,661.0,170.0,491.0,330.0,9.0,0.0,330.0,491.0,9.0,0.18,0.26,0.34,0.01,0.0,0.0,0.29,
